TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
140.607,38.073,16.671,1.523,1.75162e+15
419.989,271.205,216.171,0,1.75162e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
118.275,42.391,7.664,2.034,1.75251e+15
161.066,51.368,23.495,0,1.75251e+15
202.435,57.53,22.413,1.072,1.75251e+15
191.134,51.758,9.658,0,1.75251e+15
180.454,44.324,22.633,0.851,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
143.833,42.601,19.227,1.814,1.75251e+15
205.431,54.604,26.831,0,1.75251e+15
148.122,42.18,16.972,1.823,1.75251e+15
258.07,80.834,38.182,0,1.75251e+15
165.996,29.726,7.214,0.832,1.75251e+15
166.106,47.159,22.012,0,1.75251e+15
126.942,39.505,18.595,0.791,1.75251e+15
151.949,44.805,21.391,0,1.75251e+15
224.547,51.829,26.53,1.423,1.75251e+15
131.871,37.23,17.203,0,1.75251e+15
162.67,43.854,23.264,0.892,1.75251e+15
205.311,93.989,71.316,0,1.75251e+15
142.371,45.016,20.409,1.413,1.75251e+15
176.515,61.938,23.706,0,1.75251e+15
205.862,46.368,24.537,1.252,1.75251e+15
158.662,61.908,28.293,0,1.75251e+15
150.316,43.913,20.67,1.002,1.75251e+15
287.116,75.774,41.559,0,1.75251e+15
270.304,73.851,45.807,1.493,1.75251e+15
127.633,38.974,18.455,0,1.75251e+15
163.911,70.695,29.636,3.206,1.75251e+15
155.566,68.961,37.141,0,1.75251e+15
119.046,38.573,18.285,1.212,1.75251e+15
193.017,45.657,22.613,0,1.75251e+15
137.722,47.781,25.889,1.032,1.75251e+15
325.83,212.764,163.431,0,1.75251e+15
188.568,72.508,28.545,1.352,1.75251e+15
242.942,117.223,46.889,0,1.75251e+15
133.043,43.773,21.111,1.422,1.75251e+15
131.029,58.892,24.466,0,1.75251e+15
147.711,38.753,13.226,1.463,1.75251e+15
135.678,49.103,25.829,0,1.75251e+15
221.181,50.436,27.492,1.183,1.75251e+15
200.762,67.659,33.113,0,1.75251e+15
165.946,46.759,24.507,1.092,1.75251e+15
258.011,85.402,35.607,0,1.75251e+15
169.843,54.784,32.752,1.282,1.75251e+15
179.802,57.289,26.08,1.483,1.75251e+15
187.076,57.55,26.811,1.473,1.75251e+15
210.14,38.092,12.424,0,1.75251e+15
126.15,48.512,20.058,1.002,1.75251e+15
170.534,57.94,21.33,0,1.75251e+15
163.491,51.248,26.07,1.713,1.75251e+15
162.469,53.572,22.273,0,1.75251e+15
111.432,36.589,18.315,0.882,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
1.75251e+15,52.379,23.966,1.933,1.75251e+15
231.22,58.381,27.823,0,1.75251e+15
201.944,51.979,25.128,1.062,1.75251e+15
152.31,32.922,7.264,0,1.75251e+15
177.448,48.081,26.35,1.604,1.75251e+15
180.092,52.56,21.862,0,1.75251e+15
164.552,47.049,23.945,1.473,1.75251e+15
208.286,61.527,21.47,0,1.75251e+15
195.161,61.948,30.578,1.172,1.75251e+15
156.758,56.578,29.666,0,1.75251e+15
243.032,68.901,30.498,1.333,1.75251e+15
191.344,46.138,22.182,0,1.75251e+15
151.448,43.583,20.6,1.442,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
165.635,45.526,19.297,2.836,1.75251e+15
166.296,66.136,19.738,0,1.75251e+15
194.129,54.374,23.204,1.713,1.75251e+15
212.945,63.441,30.027,0,1.75251e+15
212.103,58.522,26.912,1.663,1.75251e+15
126.951,45.226,19.958,0,1.75251e+15
137.211,38.453,18.365,0.681,1.75251e+15
267.308,75.984,31.68,0,1.75251e+15
218.585,85.342,26.05,0.842,1.75251e+15
226.712,87.296,42.44,0,1.75251e+15
189.771,44.615,21.852,1.292,1.75251e+15
263.08,45.557,7.615,0,1.75251e+15
188.778,44.404,22.974,0.952,1.75251e+15
290.622,86.925,24.837,0,1.75251e+15
155.897,39.235,19.186,1.233,1.75251e+15
168.48,71.627,47.701,0,1.75251e+15
155.195,41.288,22.022,0.902,1.75251e+15
137.602,52.901,26.751,0,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
